id,uuid,observed_on_string,observed_on,time_observed_at,user_id,user_login,user_name,created_at,updated_at,url,image_url,tag_list,description,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1234511,b6cd9342-61c1-49a5-b038-5d4fe53697a1,2015-02-14 12:07:16 PM PST,2/14/2015,2015-02-14 20:07:16 UTC,73712,kristifreese,,2015-02-14 20:26:06 UTC,2018-10-24 15:29:26 UTC,http://www.inaturalist.org/observations/1234511,https://inaturalist-open-data.s3.amazonaws.com/photos/1553639/medium.jpg,,Found on the bank of Bear Creek.,FALSE,"Jackson County, US-OR, US",42.29915906,-122.8399553,9,,,,,open,FALSE,gps,Medford,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
1969201,80cf1b22-529e-47e8-9a79-3c562d21b1bc,8/7/2015 9:10,8/7/2015,2015-08-07 16:10:22 UTC,18222,sullivanribbit,John Sullivan,2015-09-21 18:45:45 UTC,2018-10-24 15:34:54 UTC,http://www.inaturalist.org/observations/1969201,https://inaturalist-open-data.s3.amazonaws.com/photos/2413083/medium.jpg,Otter,"Playing in a small cove (on the ocean, not in a river; I guess it couldn't read).",FALSE,"Coos, Oregon, United States",43.33002222,-124.3778694,,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
3250735,7b5e3e2a-3c1a-4626-ab19-e2457705198a,5/20/2016,5/20/2016,,24521,jimjohnson,Jim Johnson,2016-05-21 17:22:12 UTC,2024-07-23 02:47:05 UTC,http://www.inaturalist.org/observations/3250735,https://inaturalist-open-data.s3.amazonaws.com/photos/3760349/medium.jpg,,,FALSE,"Netul Landing, Lewis and Clark NP, Clatsop Co., Oregon",46.123179,-123.877222,218,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
3354398,e9748eeb-f301-4f3c-aa2d-4192832793c5,5/27/2016 20:22,5/27/2016,2016-05-28 03:22:00 UTC,1,kueda,Ken-ichi Ueda,2016-06-01 05:45:12 UTC,2019-03-29 06:55:50 UTC,http://www.inaturalist.org/observations/3354398,https://inaturalist-open-data.s3.amazonaws.com/photos/3873367/medium.jpg,"Northern River Otter, Rogue River Trail, backpacking, to-geotag",Had the great pleasure of watching a small family playing on the beach.,FALSE,"Rogue River Trail, Curry County, Oregon, United States",42.71008167,-123.8291517,,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
4006597,355d8dbb-f5bc-4209-a025-2a2efce9b044,2014/10/12 9:19 AM PDT,10/12/2014,2014-10-12 16:19:00 UTC,298425,cullin,Cullin,2016-09-01 03:19:33 UTC,2025-09-03 18:11:23 UTC,http://www.inaturalist.org/observations/4006597,https://inaturalist-open-data.s3.amazonaws.com/photos/4732554/medium.jpeg,,,FALSE,"Sauvie Island, United States",45.7053589,-122.8131412,7138,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
4024691,43866357-ee36-4b92-b011-a83063e5de06,Sun Aug 28 2016 12:22:32 GMT-0700 (PDT),8/28/2016,2016-08-28 19:22:32 UTC,319374,kenchamberlain,Ken Chamberlain,2016-09-03 16:40:51 UTC,2025-01-02 17:28:17 UTC,http://www.inaturalist.org/observations/4024691,https://inaturalist-open-data.s3.amazonaws.com/photos/4756903/medium.jpg,,"At future site I'd Sitka Sedge State Natural Area. In tide waters. Four individuals, one with fish, the fish appears to be a salmonid.",FALSE,"97112, Cloverdale, OR, US",45.26336955,-123.9562392,318,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
4315496,c3a129a0-6ec2-48f3-8143-9996e3daac35,2016/10/10 9:19 AM PDT,10/10/2016,2016-10-10 16:19:00 UTC,15366,mikepatterson,Mike Patterson,2016-10-10 22:49:46 UTC,2020-10-28 20:35:52 UTC,http://www.inaturalist.org/observations/4315496,https://inaturalist-open-data.s3.amazonaws.com/photos/5185996/medium.jpg,,,FALSE,South Jetty of the Nehalem River,45.65642691,-123.9342613,122,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
4375165,9bfa09a1-501e-46bf-98fc-92f105e81f5f,2016/08/27 10:30 AM PDT,8/27/2016,2016-08-27 17:30:00 UTC,347675,dirb72,Justin Cook,2016-10-17 03:17:53 UTC,2018-10-24 15:44:28 UTC,http://www.inaturalist.org/observations/4375165,https://inaturalist-open-data.s3.amazonaws.com/photos/5245712/medium.jpeg,,,FALSE,"Columbia County, OR, USA",45.75749961,-122.7774109,2,,,,,open,FALSE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
4446353,3717760d-a768-463f-9602-bbbb28ece62f,Thu Oct 27 2016 11:26:26 GMT-0700 (PDT),10/27/2016,2016-10-27 18:26:26 UTC,222960,sarahnwilson,Sarah Wilson,2016-10-27 18:33:59 UTC,2024-10-29 03:17:58 UTC,http://www.inaturalist.org/observations/4446353,https://inaturalist-open-data.s3.amazonaws.com/photos/5354647/medium.jpg,,Eating carp :),FALSE,"Oregon, US",45.7041165,-122.7593871,,,,,obscured,open,TRUE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
4784375,71cc9e67-60a8-4319-84f8-d72aceef0c0b,2016/12/16 4:12 PM PST,12/16/2016,2016-12-17 00:12:00 UTC,319374,kenchamberlain,Ken Chamberlain,2016-12-17 02:03:28 UTC,2024-08-31 21:43:50 UTC,https://www.inaturalist.org/observations/4784375,https://inaturalist-open-data.s3.amazonaws.com/photos/5829373/medium.jpg,,Three River Otters swimming in Daley Lake. Approx. 250 meters Distant,FALSE,"Oregon, US",45.11512059,-123.886792,223,,,,,obscured,TRUE,,,North American River Otter,Lontra canadensis,North American River Otter,Mammalia,41777
